id,company,name,date,open,close,return,volume
001_20250101,삼성자산운용,KODEX 200,2025-01-01,32060,32530,1.47,143700267
001_20250201,삼성자산운용,KODEX 200,2025-02-01,32530,33695,3.58,166118306
001_20250301,삼성자산운용,KODEX 200,2025-03-01,33695,34350,1.94,145686571
001_20250401,삼성자산운용,KODEX 200,2025-04-01,34350,33965,-1.12,220223347
001_20250501,삼성자산운용,KODEX 200,2025-05-01,33965,36125,6.36,144752275
001_20250601,삼성자산운용,KODEX 200,2025-06-01,36125,41820,15.76,223884023
001_20250701,삼성자산운용,KODEX 200,2025-07-01,41820,42140,0.77,271204729
001_20250801,삼성자산운용,KODEX 200,2025-08-01,42140,42475,0.79,196764995
001_20250901,삼성자산운용,KODEX 200,2025-09-01,42475,42475,0.0,196766725
002_20230701,삼성자산운용,KODEX CD금리액티브(합성),2023-07-01,1003390,1006515,0.31,21799996
002_20230801,삼성자산운용,KODEX CD금리액티브(합성),2023-08-01,1006515,1009860,0.33,39242873
002_20230901,삼성자산운용,KODEX CD금리액티브(합성),2023-09-01,1009860,1013290,0.34,35590900
002_20231001,삼성자산운용,KODEX CD금리액티브(합성),2023-10-01,1013290,1015935,0.26,1797444
002_20231101,삼성자산운용,KODEX CD금리액티브(합성),2023-11-01,1015935,1019240,0.33,4513210
002_20231201,삼성자산운용,KODEX CD금리액티브(합성),2023-12-01,1019240,1022370,0.31,5862381
002_20240101,삼성자산운용,KODEX CD금리액티브(합성),2024-01-01,1022370,1025385,0.29,6623837
002_20240201,삼성자산운용,KODEX CD금리액티브(합성),2024-02-01,1025385,1028635,0.32,7634777
002_20240301,삼성자산운용,KODEX CD금리액티브(합성),2024-03-01,1028635,1031440,0.27,8055368
002_20240401,삼성자산운용,KODEX CD금리액티브(합성),2024-04-01,1031440,1034760,0.32,7330883
002_20240501,삼성자산운용,KODEX CD금리액티브(합성),2024-05-01,1034760,1037755,0.29,6454710
002_20240601,삼성자산운용,KODEX CD금리액티브(합성),2024-06-01,1037755,1040590,0.27,9086569
002_20240701,삼성자산운용,KODEX CD금리액티브(합성),2024-07-01,1040590,1043765,0.31,13585460
002_20240801,삼성자산운용,KODEX CD금리액티브(합성),2024-08-01,1043765,1046840,0.29,29142657
002_20240901,삼성자산운용,KODEX CD금리액티브(합성),2024-09-01,1046840,1050195,0.32,7407339
002_20241001,삼성자산운용,KODEX CD금리액티브(합성),2024-10-01,1050195,1052965,0.26,5966961
002_20241101,삼성자산운용,KODEX CD금리액티브(합성),2024-11-01,1052965,1055760,0.27,4829294
002_20241201,삼성자산운용,KODEX CD금리액티브(합성),2024-12-01,1055760,1058860,0.29,5020287
003_20200901,삼성자산운용,KODEX 200,2020-09-01,29930,30985,3.52,173960533
003_20201001,삼성자산운용,KODEX 200,2020-10-01,30985,31425,1.42,238123835
003_20201101,삼성자산운용,KODEX 200,2020-11-01,31425,30600,-2.63,179909235
003_20201201,삼성자산운용,KODEX 200,2020-12-01,30600,35235,15.15,216280260
003_20210101,삼성자산운용,KODEX 200,2021-01-01,35235,40540,15.06,258941935
003_20210201,삼성자산운용,KODEX 200,2021-02-01,40540,42150,3.97,253561247
003_20210301,삼성자산운용,KODEX 200,2021-03-01,42150,42170,0.05,192696001
003_20210401,삼성자산운용,KODEX 200,2021-04-01,42170,42570,0.95,172862796
003_20210501,삼성자산운용,KODEX 200,2021-05-01,42570,42025,-1.28,129335589
